# {"t_start": 1602448160.086903, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,13,1.332875
0.0,5,1.334513
0.0,6,1.336523
0.0,2,1.448647
0.0,5,1.450294
0.0,4,1.451588
0.0,2,1.452261
0.0,10,1.455518
0.0,6,1.457649
0.0,5,1.46129
0.0,6,1.465531
0.0,12,1.469689
0.0,5,1.471435
0.0,2,1.472143
0.0,10,1.475777
0.0,14,1.480302
0.0,6,1.482529
0.0,2,1.483457
0.0,6,1.485655
0.0,4,1.486958
0.0,7,1.489323
0.0,3,1.490322
0.0,6,1.492254
0.0,11,1.496094
0.0,5,1.497849
0.0,13,1.502332
1.0,9,1.50548
0.0,9,1.508626
0.0,10,1.511968
0.0,3,1.513001
0.0,2,1.513707
0.0,6,1.515665
0.0,3,1.516729
0.0,16,1.522162
0.0,2,1.522908
0.0,4,1.524483
0.0,9,1.527599
0.0,4,1.528935
0.0,2,1.529601
0.0,2,1.530298
1.0,12,1.53444
0.0,14,1.539039
0.0,4,1.540348
0.0,14,1.544944
0.0,7,1.547259
0.0,2,1.547989
0.0,8,1.550551
0.0,10,1.553774
0.0,18,1.561383
0.0,5,1.564373
0.0,11,1.569353
0.0,12,1.574724
0.0,3,1.576114
0.0,7,1.578683
0.0,14,1.583597
0.0,4,1.584967
0.0,7,1.587276
0.0,12,1.591217
0.0,7,1.593516
0.0,6,1.595578
0.0,2,1.59639
0.0,12,1.600368
0.0,2,1.60105
0.0,2,1.601728
0.0,4,1.603091
0.0,20,1.609632
0.0,11,1.613311
0.0,12,1.617274
0.0,4,1.618541
0.0,5,1.620167
0.0,8,1.623136
0.0,3,1.624277
0.0,5,1.626268
0.0,10,1.629739
0.0,2,1.630438
0.0,5,1.632242
0.0,10,1.635456
0.0,18,1.641353
0.0,7,1.643686
0.0,5,1.645545
0.0,3,1.646515
0.0,2,1.647348
0.0,4,1.648623
0.0,15,1.653483
0.0,5,1.655258
0.0,7,1.657838
0.0,14,1.662389
0.0,12,1.66633
0.0,3,1.667387
0.0,22,1.675312
0.0,4,1.67683
0.0,2,1.677613
0.0,4,1.678964
0.0,12,1.683096
0.0,9,1.686067
0.0,7,1.688381
0.0,12,1.692467
0.0,2,1.693167
0.0,9,1.696355
0.0,5,1.697991
0.0,5,1.699734
0.0,8,1.702439
0.0,4,1.703754
0.0,7,1.706064
0.0,4,1.707455
0.0,2,1.70814
0.0,9,1.711291
0.0,6,1.713508
0.0,5,1.715114
0.0,4,1.716371
0.0,11,1.720034
0.0,2,1.720711
0.0,7,1.723156
0.0,7,1.726293
0.0,2,1.727072
0.0,11,1.730694
0.0,2,1.731527
0.0,4,1.732964
0.0,13,1.737375
0.0,12,1.741436
0.0,7,1.744788
0.0,6,1.747288
0.0,3,1.748508
0.0,7,1.751354
0.0,21,1.758732
0.0,6,1.760826
0.0,9,1.763968
0.0,3,1.764998
0.0,4,1.766383
0.0,3,1.76744
0.0,14,1.772102
0.0,16,1.777975
0.0,6,1.780214
0.0,5,1.782164
0.0,5,1.783944
0.0,5,1.78562
0.0,7,1.787859
0.0,5,1.789525
0.0,2,1.790248
0.0,19,1.797006
0.0,8,1.799719
0.0,24,1.807841
0.0,7,1.810008
0.0,5,1.811619
0.0,7,1.814513
0.0,2,1.815263
0.0,20,1.821513
0.0,4,1.823197
0.0,3,1.824307
0.0,5,1.826208
0.0,5,1.827824
0.0,5,1.829603
0.0,5,1.831744
0.0,9,1.834966
0.0,2,1.835699
0.0,5,1.837328
0.0,3,1.838446
0.0,5,1.840134
0.0,4,1.841434
0.0,16,1.846808
0.0,6,1.849941
0.0,2,1.850653
0.0,6,1.852631
0.0,15,1.857653
0.0,2,1.85837
0.0,3,1.859381
0.0,16,1.865064
0.0,5,1.866782
0.0,2,1.867559
0.0,7,1.869796
0.0,2,1.870488
0.0,5,1.872283
0.0,28,1.881941
1.0,9,1.885482
0.0,2,1.886189
0.0,2,1.88687
0.0,3,1.887891
0.0,2,1.888608
0.0,9,1.891532
0.0,4,1.892842
0.0,4,1.894188
0.0,2,1.894877
0.0,6,1.897181
0.0,6,1.899579
0.0,2,1.900317
0.0,3,1.901308
0.0,18,1.907305
0.0,6,1.90929
0.0,8,1.911926
0.0,15,1.916912
0.0,7,1.919083
0.0,5,1.920674
0.0,13,1.924902
0.0,6,1.926773
0.0,7,1.929287
0.0,16,1.935292
0.0,7,1.937969
0.0,5,1.939706
0.0,8,1.942348
1.0,11,1.946227
0.0,11,1.950293
0.0,3,1.951381
0.0,6,1.953429
0.0,5,1.955116
0.0,5,1.956816
0.0,18,1.963178
0.0,14,1.967787
0.0,7,1.970215
0.0,4,1.971766
0.0,9,1.974743
0.0,5,1.976476
0.0,5,1.97819
0.0,2,1.97886
0.0,6,1.980759
0.0,10,1.985631
0.0,6,1.987606
0.0,4,1.98904
0.0,8,1.991622
0.0,5,1.993374
0.0,2,1.994052
0.0,4,1.995376
0.0,4,1.997304
0.0,6,1.999757
0.0,28,2.009038
0.0,3,2.010124
0.0,3,2.011157
0.0,5,2.012806
0.0,6,2.015096
0.0,5,2.01679
0.0,9,2.019748
0.0,5,2.021426
0.0,5,2.023525
0.0,3,2.024622
0.0,8,2.027094
0.0,4,2.028247
0.0,7,2.030277
0.0,8,2.033146
0.0,10,2.036411
0.0,10,2.039846
0.0,3,2.040851
0.0,8,2.043485
0.0,13,2.047785
0.0,4,2.049259
0.0,3,2.0504
0.0,7,2.052693
0.0,13,2.057091
0.0,7,2.059606
0.0,5,2.061217
0.0,8,2.064092
0.0,6,2.066158
0.0,6,2.068198
0.0,2,2.068876
0.0,4,2.070173
0.0,5,2.071868
0.0,4,2.073251
0.0,7,2.075491
0.0,7,2.078253
0.0,16,2.084412
0.0,4,2.085785
0.0,4,2.087207
0.0,13,2.091819
1.0,20,2.098864
0.0,2,2.099596
0.0,16,2.105014
0.0,6,2.107024
0.0,7,2.109341
0.0,3,2.110324
0.0,7,2.112598
0.0,6,2.114956
0.0,4,2.116542
0.0,9,2.119463
0.0,20,2.12614
0.0,11,2.1298
0.0,4,2.131416
0.0,3,2.132517
0.0,8,2.135208
0.0,10,2.138492
0.0,3,2.139804
0.0,6,2.141796
0.0,5,2.143451
0.0,4,2.144817
0.0,8,2.147516
0.0,3,2.148528
0.0,6,2.150664
0.0,4,2.151969
0.0,6,2.153976
0.0,6,2.156227
0.0,13,2.160446
0.0,19,2.166944
0.0,6,2.222149
0.0,6,2.224199
0.0,4,2.225531
0.0,10,2.228838
0.0,12,2.233152
1.0,13,2.23755
0.0,8,2.240215
0.0,10,2.243526
0.0,5,2.245178
0.0,8,2.248018
1.0,11,2.251882
0.0,13,2.256261
0.0,6,2.258219
0.0,6,2.260292
0.0,18,2.266121
0.0,6,2.2682
0.0,7,2.270698
0.0,8,2.273394
0.0,11,2.277007
0.0,14,2.28204
0.0,8,2.285174
0.0,3,2.286195
0.0,4,2.287506
0.0,3,2.28854
0.0,15,2.293453
0.0,2,2.294164
0.0,6,2.29639
0.0,7,2.299169
0.0,2,2.300109
0.0,4,2.30152
0.0,24,2.309244
0.0,3,2.310243
0.0,12,2.314284
1.0,10,2.317703
0.0,3,2.318678
0.0,4,2.319962
0.0,6,2.321839
0.0,6,2.324051
0.0,4,2.325363
0.0,2,2.326023
0.0,3,2.326988
0.0,16,2.333207
0.0,6,2.335376
0.0,3,2.33637
0.0,4,2.337704
0.0,10,2.341193
0.0,2,2.341885
0.0,4,2.343193
0.0,7,2.345459
0.0,5,2.347263
0.0,4,2.349187
0.0,2,2.350035
0.0,8,2.352612
0.0,3,2.353606
0.0,3,2.354596
0.0,4,2.356263
0.0,9,2.359407
0.0,14,2.364123
0.0,5,2.365882
0.0,2,2.366544
0.0,4,2.367957
0.0,4,2.369239
0.0,3,2.370355
0.0,8,2.373331
0.0,3,2.374324
0.0,9,2.377108
0.0,8,2.379657
0.0,11,2.38399
0.0,7,2.386256
0.0,9,2.389279
0.0,11,2.392831
0.0,9,2.395972
0.0,3,2.397132
0.0,3,2.40129
0.0,6,2.40404
0.0,2,2.404823
0.0,5,2.406625
0.0,14,2.411233
0.0,5,2.413018
0.0,6,2.4151
0.0,4,2.416399
0.0,6,2.418352
0.0,4,2.419688
0.0,5,2.421454
0.0,3,2.422542
0.0,4,2.42387
0.0,8,2.42642
0.0,3,2.427426
0.0,17,2.433278
0.0,10,2.436796
0.0,2,2.437581
0.0,2,2.438275
0.0,10,2.441593
0.0,3,2.442585
0.0,13,2.446946
0.0,5,2.448862
0.0,12,2.45273
0.0,8,2.455398
0.0,2,2.456098
0.0,5,2.457824
0.0,2,2.458519
0.0,10,2.46192
0.0,2,2.462685
0.0,6,2.464747
0.0,14,2.469298
0.0,7,2.471653
0.0,18,2.47743
0.0,11,2.481623
0.0,8,2.484658
0.0,5,2.4865
0.0,18,2.492488
0.0,3,2.493629
0.0,3,2.494705
0.0,10,2.49845
0.0,4,2.50022
1.0,17,2.506155
0.0,8,2.508743
0.0,3,2.509782
0.0,11,2.513653
0.0,4,2.515047
0.0,3,2.516103
0.0,5,2.517843
0.0,2,2.518565
0.0,2,2.519254
0.0,2,2.519935
0.0,5,2.521604
0.0,2,2.522376
0.0,2,2.523403
0.0,8,2.525981
0.0,8,2.528948
0.0,10,2.532414
0.0,6,2.534558
0.0,8,2.537146
0.0,6,2.539216
0.0,13,2.543547
0.0,2,2.544247
0.0,2,2.544947
0.0,13,2.549514
0.0,6,2.551462
0.0,10,2.554765
0.0,7,2.557049
0.0,6,2.559051
0.0,8,2.561855
0.0,3,2.563086
